[0000]  WARN no explicit name and version provided for directory source, deriving artifact ID from the given path (which is not ideal)
NAME                                      VERSION      TYPE    
accelerate                                1.12.0       python  
aiohappyeyeballs                          2.6.1        python  
aiohttp                                   3.13.3       python  
aiosignal                                 1.4.0        python  
annotated-doc                             0.0.4        python  
annotated-types                           0.7.0        python  
anyio                                     4.12.0       python  
attrs                                     25.4.0       python  
autoawq                                   0.2.9        python  
autocommand                               2.2.2        python  
backoff                                   2.2.1        python  
backports-tarfile                         1.2.0        python  
bcrypt                                    5.0.0        python  
bitsandbytes                              0.49.1       python  
build                                     1.3.0        python  
cachetools                                6.2.4        python  
certifi                                   2025.11.12   python  
charset-normalizer                        3.4.4        python  
cli                                       UNKNOWN      binary  
cli-32                                    UNKNOWN      binary  
cli-64                                    UNKNOWN      binary  
cli-arm64                                 UNKNOWN      binary  
click                                     8.3.1        python  
coloredlogs                               15.0.1       python  
contourpy                                 1.3.3        python  
cycler                                    0.12.1       python  
dataclasses-json                          0.6.7        python  
datasets                                  4.5.0        python  
dill                                      0.4.0        python  
distro                                    1.9.0        python  
durationpy                                0.10         python  
faiss-cpu                                 1.13.2       python  
filelock                                  3.20.0       python  
flatbuffers                               25.9.23      python  
fonttools                                 4.61.1       python  
frozenlist                                1.8.0        python  
fsspec                                    2025.10.0    python  
google-auth                               2.45.0       python  
googleapis-common-protos                  1.72.0       python  
greenlet                                  3.3.0        python  
grpcio                                    1.76.0       python  
gui                                       UNKNOWN      binary  
gui-32                                    UNKNOWN      binary  
gui-64                                    UNKNOWN      binary  
gui-arm64                                 UNKNOWN      binary  
h11                                       0.16.0       python  
hf-xet                                    1.2.0        python  
httpcore                                  1.0.9        python  
httptools                                 0.7.1        python  
httpx                                     0.28.1       python  
httpx-sse                                 0.4.3        python  
huggingface-hub                           1.4.1        python  
humanfriendly                             10.0         python  
idna                                      3.11         python  
importlib-metadata                        8.0.0        python  
importlib-metadata                        8.7.0        python  
importlib-resources                       6.5.2        python  
inflect                                   7.3.1        python  
intel-extension-for-pytorch               2.8.0        python  
jaraco-collections                        5.1.0        python  
jaraco-context                            5.3.0        python  
jaraco-functools                          4.0.1        python  
jaraco-text                               3.12.1       python  
jinja2                                    3.1.6        python  
jiter                                     0.12.0       python  
joblib                                    1.5.3        python  
jsonpatch                                 1.33         python  
jsonpointer                               3.0.0        python  
jsonschema                                4.25.1       python  
jsonschema-specifications                 2025.9.1     python  
kiwisolver                                1.4.9        python  
kubernetes                                34.1.0       python  
langchain                                 1.2.0        python  
langchain-classic                         1.0.1        python  
langchain-community                       0.4.1        python  
langchain-core                            1.2.5        python  
langchain-huggingface                     1.1.0        python  
langchain-text-splitters                  1.1.0        python  
langgraph                                 1.0.4        python  
langgraph-checkpoint                      3.0.1        python  
langgraph-prebuilt                        1.0.5        python  
langgraph-sdk                             0.2.15       python  
langsmith                                 0.4.59       python  
markdown-it-py                            4.0.0        python  
markupsafe                                3.0.3        python  
marshmallow                               3.26.2       python  
matplotlib                                3.10.8       python  
mdurl                                     0.1.2        python  
mmh3                                      5.2.0        python  
more-itertools                            10.3.0       python  
